id,name,industry_type,SO2,H2S,CO,CO2,N2,CH4,flow_rate,temperature,pressure
1,GCT Phosphate Unit 1,phosphate,18.5,0.0,0.0,62.0,19.5,0.0,6000.0,165.0,1.6
2,GCT Phosphate Unit 2,phosphate,22.3,0.0,0.0,58.5,19.2,0.0,5500.0,170.0,1.7
3,GCT Phosphate Unit 3,phosphate,12.1,0.0,0.0,67.0,20.9,0.0,4800.0,155.0,1.4
4,SIAPE Engrais Ligne A,fertilizer,8.5,0.8,0.0,55.0,35.7,0.0,3000.0,130.0,1.3
5,SIAPE Engrais Ligne B,fertilizer,6.2,1.2,0.0,52.0,40.6,0.0,2800.0,125.0,1.2
6,ICF Complexe Chimique,chemical,4.5,2.5,0.0,45.0,48.0,0.0,2000.0,110.0,2.1
7,ICF Réacteur SO3,chemical,35.0,0.0,0.0,40.0,25.0,0.0,1500.0,200.0,2.5
8,Cimenterie Gabes Nord,cement,0.0,0.0,28.0,38.0,34.0,0.0,12000.0,210.0,1.1
9,Cimenterie Gabes Sud,cement,0.0,0.0,20.0,42.0,38.0,0.0,9000.0,195.0,1.0
10,Raffinerie STIR Brut,refinery,2.0,3.5,5.0,35.0,49.5,5.0,8000.0,145.0,3.0
11,Raffinerie STIR FCC,refinery,1.5,0.5,12.0,28.0,53.0,5.0,7000.0,160.0,2.8
12,Centrale Thermique Gabes,power,0.0,0.0,2.0,15.0,75.0,8.0,15000.0,120.0,1.0
13,SOTUVER Verrerie,glass,0.5,0.0,3.0,22.0,68.5,6.0,5000.0,180.0,1.2
14,Société Industrie Plâtre,construction,0.8,0.0,1.5,30.0,67.7,0.0,3500.0,140.0,1.1
15,Traitement Acide Sulfurique,chemical,45.0,0.0,0.0,30.0,25.0,0.0,1000.0,220.0,3.0
16,Gazoduc Miskar Offshore,gas,0.0,0.2,0.5,5.0,10.3,84.0,20000.0,40.0,60.0
17,Unité Biogaz Déchets,waste,0.0,1.5,0.0,38.0,27.5,33.0,500.0,35.0,1.05
18,Agroalimentaire Huile Olive,agro,0.0,0.0,0.5,18.0,78.5,3.0,800.0,95.0,1.1
19,GCT Acide Phosphorique,phosphate,28.0,0.0,0.0,50.0,22.0,0.0,4000.0,185.0,2.0
20,STEG Turbine Gaz,power,0.0,0.0,1.0,8.0,82.0,9.0,18000.0,100.0,1.0
